Block Hash: 0ef0e92792ad96efae5632bea7c7c3ea26f2a45d6c99d3a7c7a368958747a548
Previous Hash: beb3b0f706d2310aaf611c83ae9ffc091bc94d4d35d71324307b6f4701be3455
Merkle Root: 6458988387d33a3eeb3e4e80da8141c734254acdd3a85a3d745983476ffbe158
Random Number: 892272792
Forward Hash: 0
Timestamp: 2023-11-17 11:12:59
Transactions:
- Bob sends $14 to David
- Charlie sends $17 to Emily
- Charlie sends $20 to Emily
- David sends $32 to Bob
- David sends $19 to Emily
- Emily sends $10 to Alice
- Charlie sends $25 to Bob
- David sends $48 to Alice
- Alice sends $33 to Bob
- Charlie sends $30 to Emily
==================================================
