Block Hash: 67112afdf22878c20313894a5d2cf2f58fd40b1be8a1871f983ae016185922fd
Previous Hash: dd10a7ed754bcd5242c247e9a82fbb3bd490fad05cce7d5f0242c532bb9c57a6
Merkle Root: 45adfcf98158c2970aeff6e6168575fb6ecd7dd1b2860f307759e63e33039a6a
Random Number: 114184031
Forward Hash: 0
Timestamp: 2023-11-17 11:13:00
Transactions:
- David sends $43 to Charlie
- Charlie sends $49 to Emily
- Bob sends $27 to Emily
- Emily sends $42 to Alice
- Bob sends $29 to David
- Emily sends $23 to Alice
- Bob sends $21 to David
- Charlie sends $47 to Bob
- Alice sends $22 to Emily
- Charlie sends $39 to David
==================================================
