Block Hash: 1ce107962accfae2b8d65ae2f40e898d10c47a04289593f6b29603b7bf456a33
Previous Hash: 2258c082de229c69748a7b1197a45bb69da13b71311b51c2e613ab85fe21bb2f
Merkle Root: 5235e565cdb07399be42614cddc7fb705ded98d1c4259d690e4f43ed9769b9ea
Random Number: 33969258
Forward Hash: 0
Timestamp: 2023-11-17 11:12:30
Transactions:
- Alice sends $48 to David
- David sends $31 to Alice
- David sends $34 to Charlie
- Charlie sends $16 to Bob
- Emily sends $32 to Alice
- Bob sends $34 to Charlie
- David sends $29 to Bob
- Charlie sends $35 to Emily
- David sends $13 to Bob
- Emily sends $42 to Alice
==================================================
