Block Hash: 5bad835dffe7186a9c765775ae7c8aebeb817fcf012cfbd95519b5bd0bbeb34b
Previous Hash: 2d651fd752807647509f5ebce95f3646c0658efc350ac4bc7ce30e87daf417c9
Merkle Root: 6f12126fa1c75433a020474f04d01c89c12ef7e9793f0e4292029fb62a0476c7
Random Number: 157552567
Forward Hash: 0
Timestamp: 2023-11-17 11:13:01
Transactions:
- Bob sends $30 to David
- David sends $12 to Emily
- Emily sends $12 to Bob
- Alice sends $33 to Bob
- David sends $28 to Alice
- Charlie sends $19 to Emily
- Alice sends $29 to Bob
- Charlie sends $40 to Bob
- Charlie sends $14 to Bob
- Emily sends $38 to Bob
==================================================
