Block Hash: 97c340ed143ae23363d257dba445040b8e82d11908b1db13cb35e45188da6747
Previous Hash: 011110cf840e589bdb0eab7c2e9f603867e1ccef605f33bbc104fe8037b38980
Merkle Root: 2da96506d03480a78544bf42ff06abb58b8a1d43120c87f84eb7817a1ae069ff
Random Number: 895127094
Forward Hash: 0
Timestamp: 2023-11-17 11:12:32
Transactions:
- Emily sends $37 to David
- Alice sends $38 to Charlie
- Alice sends $48 to Emily
- Alice sends $46 to Charlie
- David sends $28 to Emily
- Bob sends $46 to Emily
- Alice sends $35 to Bob
- David sends $25 to Emily
- Alice sends $50 to Bob
- David sends $30 to Alice
==================================================
