Block Hash: 2776ac714da927dbd28a0f5237e1c873b2e6900245944271e433c0ebef853b58
Previous Hash: 5f8308d07b7729c2c0060a3e0bacbe5e3f284075878a3668091e853549bb9170
Merkle Root: 70eedf13bada6e2ead0c015ff1a78475a0d251d4ae5dd580ebefe373cc419358
Random Number: 142093100
Forward Hash: 0
Timestamp: 2023-11-17 11:13:03
Transactions:
- Charlie sends $34 to Alice
- Alice sends $37 to Bob
- David sends $46 to Charlie
- Alice sends $49 to David
- Bob sends $14 to Charlie
- David sends $40 to Bob
- Bob sends $21 to David
- David sends $31 to Bob
- David sends $13 to Bob
- David sends $40 to Bob
==================================================
