Block Hash: 5ef6fa4e57549c23d37fd04d6e84816bd371f1875da3a44e2cf692abf8d8b8a2
Previous Hash: 60781f63055d004d5a02680c18deddf85a122532fe0340f391f68e85c52c8a36
Merkle Root: 1bec5aaa46915287fb921510476f328ea00c01ddd47e4cfa112f001ee6c78eb3
Random Number: 380445878
Forward Hash: 0
Timestamp: 2023-11-17 11:13:03
Transactions:
- David sends $26 to Charlie
- Charlie sends $12 to David
- Alice sends $30 to Bob
- Charlie sends $34 to Bob
- Emily sends $35 to Bob
- Alice sends $16 to David
- Alice sends $28 to Emily
- Bob sends $24 to Alice
- Charlie sends $26 to Emily
- Alice sends $17 to Emily
==================================================
