Block Hash: ef7539792579ec8e4849ea77c43e73a0336101574e0a8d933e05d648e8954942
Previous Hash: e2cc1e0d12612fc11f780fb32af99f3eddf9d3ccfd4979b49b3d1d19b1446c0d
Merkle Root: cb076c72fd95d03903c98fbce73129246d340b68ec17f54d3684722b791c0937
Random Number: 914845284
Forward Hash: 0
Timestamp: 2023-11-17 11:13:04
Transactions:
- David sends $48 to Charlie
- Charlie sends $16 to Bob
- Bob sends $29 to David
- Alice sends $12 to Bob
- Bob sends $32 to Emily
- Charlie sends $35 to Bob
- Bob sends $41 to Emily
- Charlie sends $37 to David
- Charlie sends $35 to Emily
- Emily sends $41 to Bob
==================================================
