Block Hash: b3a66823bdddba6951bdc835a999c69a568db6163386766943919c7cf72d6bb7
Previous Hash: 90fb11f0d35e1348fef3c359ccdb8d274665b71b85e2de5585f0085f084a907d
Merkle Root: 395647f7e76693a081145cb6839583accd0e70bd323c680682bce0d71a21c820
Random Number: 244697537
Forward Hash: 0
Timestamp: 2023-11-17 11:13:04
Transactions:
- Alice sends $11 to Emily
- David sends $12 to Bob
- Bob sends $14 to Alice
- Bob sends $30 to Charlie
- Charlie sends $25 to Bob
- Charlie sends $23 to Alice
- Emily sends $26 to David
- David sends $13 to Alice
- David sends $21 to Alice
- Charlie sends $37 to David
==================================================
