Block Hash: 0c96c82a307b0dc14b2fa6651d896b7eccc162d5a13b1d965f65127b1ba5d433
Previous Hash: 98d74725c938a601eb241c5c89b14dd34daebf40bab8f6f754c024416dd239b2
Merkle Root: 2902eef3d46b3e08df4de680fec60528cf7dcb956be79662f98ba8b82f0daafb
Random Number: 478996067
Forward Hash: 0
Timestamp: 2023-11-17 11:13:05
Transactions:
- David sends $19 to Alice
- Emily sends $49 to Charlie
- Emily sends $30 to David
- Alice sends $32 to David
- Bob sends $34 to Charlie
- Alice sends $30 to Bob
- Alice sends $31 to Charlie
- Alice sends $46 to Bob
- Charlie sends $32 to David
- Bob sends $23 to Charlie
==================================================
