Block Hash: a149af6ac380633ddb535158c781093d4594d36313b7254855f76e8af0d84a25
Previous Hash: 2ddb7ca7b999f7a6ce2dd069a49fe2ad42cf42a3fa4ba66080723816b18f89f2
Merkle Root: df033d9177ce4c6dc898af6747cd212ae4b177b678f4e5c9d1cdf8810621d4d9
Random Number: 667746039
Forward Hash: 0
Timestamp: 2023-11-17 11:13:05
Transactions:
- Charlie sends $45 to Emily
- Alice sends $32 to David
- David sends $11 to Alice
- David sends $47 to Alice
- Bob sends $49 to David
- David sends $48 to Bob
- Emily sends $32 to Bob
- David sends $24 to Alice
- Alice sends $47 to David
- Alice sends $17 to Bob
==================================================
