Block Hash: 8f1b05818c1a57cf4ddedf3407867dc3598c374c97513a321c8b87a0617491b2
Previous Hash: d521b4cc361b8e2c379f1856ee7d4b146926006c8519da9f82ceab5b9a4d9dc7
Merkle Root: a6987f20460d0bceb68915f6d842154e1a967cdacede99193115ec467b07f246
Random Number: 797445914
Forward Hash: 0
Timestamp: 2023-11-17 11:13:06
Transactions:
- Bob sends $39 to Emily
- Alice sends $29 to David
- Emily sends $43 to Alice
- Alice sends $27 to David
- Alice sends $39 to David
- David sends $41 to Bob
- David sends $48 to Bob
- Emily sends $46 to Bob
- Emily sends $46 to David
- Alice sends $42 to David
==================================================
