Block Hash: 42fa5a86d2551ede1596dfa2104cdd30a7913adad1ce8ffbadb67019a845411d
Previous Hash: 9ba8a9caa4c63bdde7898af50bb8a83f58c4625296c18857747abe45b58d6a18
Merkle Root: 4a219519201990395c4800e604ace214454451b8505713b14fe6498fd0e6512f
Random Number: 562193280
Forward Hash: 0
Timestamp: 2023-11-17 11:13:06
Transactions:
- Charlie sends $39 to Bob
- Emily sends $34 to Charlie
- David sends $39 to Emily
- Alice sends $26 to Emily
- Bob sends $41 to Charlie
- David sends $49 to Charlie
- David sends $19 to Emily
- Bob sends $12 to Emily
- Bob sends $43 to Emily
- David sends $25 to Charlie
==================================================
