Block Hash: eb07deafaf402a091b1de37a976f053e1aa0dfe40c4e71efd2c1b2e3a21327a6
Previous Hash: dd0ded52809849a1f08e67225fd1035b87fc3bab4073b68f494cb4c691af9b4a
Merkle Root: b5fa7a098f427d8b51b336701317598b94eee720723ac943df78dcf5c8739faf
Random Number: 974826693
Forward Hash: 0
Timestamp: 2023-11-17 11:13:07
Transactions:
- Bob sends $34 to Emily
- David sends $25 to Bob
- Emily sends $15 to Bob
- Alice sends $39 to David
- Alice sends $39 to Bob
- Charlie sends $26 to David
- Alice sends $46 to David
- Charlie sends $14 to Bob
- David sends $11 to Bob
- Charlie sends $38 to Bob
==================================================
